Bank_Quarter,Credit_Score,Country,Gender,Age,Tenure_Years,Account_Balance,Number_Of_Products,Has_Credit_Card,Active_Status,Estimated_Salary_EUR,Churn_Status
1,619,France,Female,42,7,0.0,1,credit card holder,Active Member,101348.88,Exit
4,608,Spain,Female,41,4,83807.86,1,non credit card holder,Active Member,112542.58,Retain
1,502,France,Female,42,4,159660.8,3,credit card holder,Inactive Member,113931.57,Exit
4,699,France,Female,39,3,0.0,2,non credit card holder,Inactive Member,93826.63,Retain
4,850,Spain,Female,43,3,125510.82,1,credit card holder,Active Member,79084.1,Retain
4,645,Spain,Male,44,4,113755.78,2,credit card holder,Inactive Member,149756.71,Exit
3,822,France,Male,50,6,0.0,2,credit card holder,Active Member,10062.8,Retain
2,376,Germany,Female,29,5,115046.74,4,credit card holder,Inactive Member,119346.88,Exit
1,501,France,Male,44,5,142051.07,2,non credit card holder,Active Member,74940.5,Retain
2,684,France,Male,27,5,134603.88,1,credit card holder,Active Member,71725.73,Retain
3,528,France,Male,31,7,102016.72,2,non credit card holder,Inactive Member,80181.12,Retain
3,497,Spain,Male,24,7,0.0,2,credit card holder,Inactive Member,76390.01,Retain
4,476,France,Female,34,3,0.0,2,credit card holder,Inactive Member,26260.98,Retain
4,549,France,Female,25,6,0.0,2,non credit card holder,Inactive Member,190857.79,Retain
1,635,Spain,Female,35,6,0.0,2,credit card holder,Active Member,65951.65,Retain
1,616,Germany,Male,45,4,143129.41,2,non credit card holder,Active Member,64327.26,Retain
4,653,Germany,Male,58,4,132602.88,1,credit card holder,Inactive Member,5097.67,Exit
4,549,Spain,Female,24,3,0.0,2,credit card holder,Active Member,14406.41,Retain
4,587,Spain,Male,45,3,0.0,1,non credit card holder,Inactive Member,158684.81,Retain
1,726,France,Female,24,5,0.0,2,credit card holder,Active Member,54724.03,Retain
4,732,France,Male,41,5,0.0,2,credit card holder,Active Member,170886.17,Retain
1,636,Spain,Female,32,5,0.0,2,credit card holder,Inactive Member,138555.46,Retain
2,510,Spain,Female,38,4,0.0,1,credit card holder,Inactive Member,118913.53,Exit
3,669,France,Male,46,3,0.0,2,non credit card holder,Active Member,8487.75,Retain
4,846,France,Female,38,5,0.0,1,credit card holder,Active Member,187616.16,Retain
4,577,France,Male,25,6,0.0,2,non credit card holder,Active Member,124508.29,Retain
4,756,Germany,Male,36,4,136815.64,1,credit card holder,Active Member,170041.95,Retain
4,571,France,Male,44,4,0.0,2,non credit card holder,Inactive Member,38433.35,Retain
2,574,Germany,Female,43,5,141349.43,1,credit card holder,Active Member,100187.43,Retain
3,411,France,Male,29,4,59697.17,2,credit card holder,Active Member,53483.21,Retain
4,591,Spain,Female,39,5,0.0,3,credit card holder,Inactive Member,140469.38,Exit
3,533,France,Male,36,4,85311.7,1,non credit card holder,Active Member,156731.91,Retain
3,553,Germany,Male,41,5,110112.54,2,non credit card holder,Inactive Member,81898.81,Retain
3,520,Spain,Female,42,4,0.0,2,credit card holder,Active Member,34410.55,Retain
1,722,Spain,Female,29,6,0.0,2,credit card holder,Active Member,142033.07,Retain
3,475,France,Female,45,5,134264.04,1,credit card holder,Inactive Member,27822.99,Exit
2,490,Spain,Male,31,7,145260.23,1,non credit card holder,Active Member,114066.77,Retain
1,804,Spain,Male,33,4,76548.6,1,non credit card holder,Active Member,98453.45,Retain
1,850,France,Male,36,5,0.0,1,credit card holder,Active Member,40812.9,Retain
4,582,Germany,Male,41,6,70349.48,2,non credit card holder,Active Member,178074.04,Retain
2,472,Spain,Male,40,5,0.0,1,credit card holder,Inactive Member,70154.22,Retain
4,465,France,Female,51,6,122522.32,1,non credit card holder,Inactive Member,181297.65,Exit
1,556,France,Female,61,5,117419.35,1,credit card holder,Active Member,94153.83,Retain
2,834,France,Female,49,6,131394.56,1,non credit card holder,Inactive Member,194365.76,Exit
3,660,Spain,Female,61,7,155931.11,1,credit card holder,Active Member,158338.39,Retain
4,776,Germany,Female,32,6,109421.13,2,credit card holder,Active Member,126517.46,Retain
2,829,Germany,Female,27,5,112045.67,1,credit card holder,Active Member,119708.21,Exit
1,637,Germany,Female,39,7,137843.8,1,credit card holder,Active Member,117622.8,Exit
4,550,Germany,Male,38,4,103391.38,1,non credit card holder,Active Member,90878.13,Retain
2,776,Germany,Female,37,4,103769.22,2,credit card holder,Inactive Member,194099.12,Retain
1,698,Germany,Male,44,6,116363.37,2,credit card holder,Inactive Member,198059.16,Retain
2,585,Germany,Male,36,4,146050.97,2,non credit card holder,Inactive Member,86424.57,Retain
1,788,France,Female,33,5,0.0,2,non credit card holder,Inactive Member,116978.19,Retain
3,655,Germany,Male,41,5,125561.97,1,non credit card holder,Inactive Member,164040.94,Exit
2,601,Germany,Male,42,7,98495.72,1,credit card holder,Inactive Member,40014.76,Exit
1,619,France,Male,43,6,125211.92,1,credit card holder,Active Member,113410.49,Retain
3,656,France,Male,45,6,127864.4,1,credit card holder,Inactive Member,87107.57,Retain
3,725,Germany,Male,19,6,75888.2,1,non credit card holder,Inactive Member,45613.75,Retain
3,511,Spain,Female,66,7,0.0,1,credit card holder,Inactive Member,1643.11,Exit
1,614,France,Male,51,4,40685.92,1,credit card holder,Active Member,46775.28,Retain
2,742,Germany,Male,35,6,136857.0,1,non credit card holder,Inactive Member,84509.57,Retain
4,687,Germany,Female,27,4,152328.88,2,non credit card holder,Inactive Member,126494.82,Retain
2,555,Spain,Male,33,5,56084.69,2,non credit card holder,Inactive Member,178798.13,Retain
1,684,Spain,Male,56,4,78707.16,1,credit card holder,Active Member,99398.36,Retain
2,603,Germany,Male,26,4,109166.37,1,credit card holder,Active Member,92840.67,Retain
2,751,Germany,Female,36,6,169831.46,2,credit card holder,Active Member,27758.36,Retain
1,581,Germany,Female,34,4,101633.04,1,credit card holder,Inactive Member,110431.51,Retain
4,735,Germany,Male,43,6,123180.01,2,credit card holder,Active Member,196673.28,Retain
3,661,Germany,Female,35,3,150725.53,2,non credit card holder,Active Member,113656.85,Retain
3,675,France,Female,21,5,98373.26,1,credit card holder,Inactive Member,18203.0,Retain
4,738,Germany,Male,58,3,133745.44,4,credit card holder,Inactive Member,28373.86,Exit
4,813,France,Male,29,6,0.0,1,credit card holder,Inactive Member,33953.87,Retain
1,657,Spain,Female,37,6,163607.18,1,non credit card holder,Active Member,44203.55,Retain
2,604,Germany,Female,25,4,157780.84,2,credit card holder,Active Member,58426.81,Retain
3,519,France,Male,36,6,0.0,2,non credit card holder,Active Member,145562.4,Retain
3,735,France,Female,21,5,178718.19,2,credit card holder,Inactive Member,22388.0,Retain
3,664,France,Male,55,5,0.0,2,credit card holder,Active Member,139161.64,Retain
3,678,France,Female,32,7,0.0,1,credit card holder,Active Member,148210.64,Retain
2,757,Spain,Male,33,6,77253.22,1,non credit card holder,Active Member,194239.63,Retain
3,416,Germany,Female,41,4,122189.66,2,credit card holder,Inactive Member,98301.61,Retain
4,665,France,Female,34,6,96645.54,2,non credit card holder,Inactive Member,171413.66,Retain
2,777,France,Female,32,7,0.0,1,credit card holder,Inactive Member,136458.19,Exit
2,543,France,Female,36,4,0.0,2,non credit card holder,Inactive Member,26019.59,Retain
4,506,France,Female,34,4,90307.62,1,credit card holder,Active Member,159235.29,Retain
4,493,France,Female,46,5,0.0,2,credit card holder,Inactive Member,1907.66,Retain
4,652,Spain,Female,75,3,0.0,2,credit card holder,Active Member,114675.75,Retain
4,750,Spain,Male,22,5,121681.82,1,credit card holder,Inactive Member,128643.35,Exit
3,729,France,Male,30,6,0.0,2,credit card holder,Inactive Member,151869.35,Retain
4,646,France,Female,46,5,0.0,3,credit card holder,Inactive Member,93251.42,Exit
2,635,Germany,Female,28,4,81623.67,2,credit card holder,Active Member,156791.36,Retain
4,647,Spain,Female,44,4,0.0,3,credit card holder,Active Member,174205.22,Exit
1,808,France,Male,45,7,118626.55,2,credit card holder,Inactive Member,147132.46,Retain
2,524,France,Female,36,6,0.0,2,credit card holder,Inactive Member,109614.57,Retain
4,769,France,Male,29,4,0.0,2,credit card holder,Active Member,172290.61,Retain
2,730,Spain,Male,42,4,0.0,2,non credit card holder,Active Member,85982.47,Retain
1,515,Spain,Male,35,5,176273.95,1,non credit card holder,Active Member,121277.78,Retain
1,773,Spain,Male,41,6,102827.44,1,non credit card holder,Active Member,64595.25,Retain
3,814,Germany,Male,29,7,97086.4,2,credit card holder,Active Member,197276.13,Retain
3,710,Spain,Male,22,4,0.0,2,non credit card holder,Inactive Member,99645.04,Retain
4,413,France,Male,34,3,0.0,2,non credit card holder,Inactive Member,6534.18,Retain
4,665,France,Female,40,3,0.0,1,credit card holder,Active Member,161848.03,Retain
4,623,France,Female,44,5,0.0,2,non credit card holder,Inactive Member,167162.43,Retain
3,738,France,Male,31,5,82674.15,1,credit card holder,Inactive Member,41970.72,Retain
2,528,Spain,Male,36,4,0.0,2,credit card holder,Inactive Member,60536.56,Retain
4,670,Spain,Female,65,3,0.0,1,credit card holder,Active Member,177655.68,Exit
1,622,Spain,Female,46,4,107073.27,2,credit card holder,Active Member,30984.59,Exit
3,582,Germany,Male,32,4,88938.62,1,credit card holder,Active Member,10054.53,Retain
4,785,Germany,Female,36,3,99806.85,1,non credit card holder,Active Member,36976.52,Retain
2,605,Spain,Male,33,5,150092.8,1,non credit card holder,Inactive Member,71862.79,Retain
3,479,Germany,Male,35,5,92833.89,1,credit card holder,Inactive Member,99449.86,Exit
3,685,Germany,Male,30,4,90536.81,1,non credit card holder,Active Member,63082.88,Retain
3,538,Germany,Male,39,4,108055.1,2,credit card holder,Inactive Member,27231.26,Retain
4,562,France,Male,42,6,100238.35,1,non credit card holder,Inactive Member,86797.41,Retain
4,675,Spain,Male,36,5,106190.55,1,non credit card holder,Active Member,22994.32,Retain
4,721,Germany,Male,28,3,154475.54,2,non credit card holder,Active Member,101300.94,Exit
3,628,Germany,Female,30,6,132351.29,2,credit card holder,Active Member,74169.13,Retain
4,668,Germany,Female,37,4,167864.4,1,credit card holder,Inactive Member,115638.29,Retain
2,506,France,Female,41,5,0.0,2,credit card holder,Inactive Member,31766.3,Retain
3,524,Germany,Female,31,3,107818.63,1,credit card holder,Inactive Member,199725.39,Exit
4,699,Germany,Male,34,5,185173.81,2,credit card holder,Inactive Member,120834.48,Retain
4,828,France,Male,34,3,129433.34,2,non credit card holder,Inactive Member,38131.77,Retain
4,674,Spain,Male,39,6,120193.42,1,non credit card holder,Inactive Member,100130.95,Retain
2,656,France,Female,39,4,0.0,2,credit card holder,Inactive Member,141069.88,Retain
3,684,Germany,Female,48,7,126384.42,1,credit card holder,Active Member,198129.36,Retain
4,625,France,Female,28,3,0.0,1,non credit card holder,Inactive Member,183646.41,Retain
4,432,France,Male,42,6,152603.45,1,credit card holder,Inactive Member,110265.24,Exit
4,549,France,Female,52,4,0.0,1,non credit card holder,Active Member,8636.05,Exit
4,625,Germany,Male,56,4,148507.24,1,credit card holder,Inactive Member,46824.08,Exit
4,828,France,Female,41,3,0.0,2,credit card holder,Inactive Member,171378.77,Retain
3,770,France,Male,24,7,101827.07,1,credit card holder,Inactive Member,167256.35,Retain
3,758,France,Female,34,4,0.0,2,credit card holder,Active Member,124226.16,Retain
4,795,Germany,Female,33,3,130862.43,1,credit card holder,Active Member,114935.21,Retain
4,687,France,Male,38,6,122570.87,1,credit card holder,Active Member,35608.88,Retain
4,686,France,Male,25,5,0.0,2,non credit card holder,Active Member,16459.37,Retain
1,789,Germany,Male,39,4,124828.46,2,credit card holder,Active Member,124411.08,Retain
3,589,Germany,Female,50,5,144895.05,2,credit card holder,Active Member,34941.23,Retain
4,461,Germany,Female,34,5,63663.93,1,non credit card holder,Active Member,167784.28,Retain
4,637,France,Male,40,4,133463.1,1,non credit card holder,Active Member,93165.34,Retain
1,584,Spain,Female,48,4,213146.2,1,credit card holder,Inactive Member,75161.25,Exit
2,579,Spain,Female,35,7,129490.36,2,non credit card holder,Active Member,8590.83,Exit
4,756,Germany,Male,44,6,137452.09,1,credit card holder,Inactive Member,189543.9,Retain
4,663,France,Male,34,4,0.0,2,credit card holder,Active Member,180427.24,Retain
4,682,France,Female,43,6,125851.93,1,credit card holder,Active Member,193318.33,Retain
2,793,Spain,Male,52,5,0.0,1,credit card holder,Inactive Member,159123.82,Exit
4,691,France,Female,31,3,40915.55,1,credit card holder,Inactive Member,126213.84,Exit
2,485,Spain,Female,21,5,113157.22,1,credit card holder,Active Member,54141.5,Retain
4,635,Spain,Female,29,4,138296.94,2,credit card holder,Inactive Member,141075.51,Retain
3,650,France,Male,37,4,106967.18,1,non credit card holder,Inactive Member,24495.03,Retain
3,735,France,Male,44,6,120681.63,1,credit card holder,Inactive Member,74836.34,Retain
3,416,France,Male,32,4,0.0,2,non credit card holder,Active Member,878.87,Retain
4,754,Spain,Female,32,4,0.0,2,credit card holder,Inactive Member,89520.75,Retain
2,535,France,Female,48,4,0.0,1,credit card holder,Inactive Member,149892.79,Exit
1,716,Spain,Male,42,4,0.0,2,credit card holder,Inactive Member,180800.42,Retain
1,539,France,Male,37,6,127609.59,1,credit card holder,Inactive Member,98646.22,Retain
4,614,France,Female,43,3,0.0,2,credit card holder,Active Member,109041.53,Retain
4,706,Spain,Male,57,5,0.0,1,credit card holder,Inactive Member,17941.16,Exit
4,758,France,Female,33,3,0.0,2,non credit card holder,Inactive Member,82996.47,Retain
3,586,Spain,Female,28,4,0.0,2,credit card holder,Active Member,92067.35,Retain
3,646,France,Female,73,6,97259.25,1,non credit card holder,Active Member,104719.66,Retain
4,631,Germany,Female,33,3,123246.7,1,non credit card holder,Inactive Member,112687.57,Retain
4,717,Spain,Female,22,3,101060.25,1,non credit card holder,Active Member,84699.56,Retain
4,684,France,Male,30,5,0.0,2,credit card holder,Inactive Member,83473.82,Retain
1,800,France,Female,49,7,108007.36,1,non credit card holder,Inactive Member,47125.11,Retain
4,721,Spain,Female,36,6,0.0,2,credit card holder,Active Member,106977.8,Retain
1,683,Spain,Male,29,4,133702.89,1,credit card holder,Inactive Member,55582.54,Exit
4,660,Germany,Male,31,6,125189.75,2,credit card holder,Active Member,139874.43,Retain
4,704,Germany,Female,24,5,113034.22,1,credit card holder,Inactive Member,162503.48,Exit
3,615,Spain,Female,41,4,109013.23,1,credit card holder,Inactive Member,196499.96,Retain
4,667,Spain,Female,39,5,0.0,2,credit card holder,Inactive Member,40721.24,Exit
3,682,Germany,Male,24,6,57929.81,2,non credit card holder,Inactive Member,53134.3,Retain
2,484,France,Female,29,7,130114.39,1,credit card holder,Inactive Member,164017.89,Retain
4,628,Germany,Male,27,5,95826.49,2,credit card holder,Inactive Member,155996.96,Retain
3,480,Germany,Male,44,7,129608.57,1,credit card holder,Inactive Member,5472.7,Exit
4,578,France,Male,30,4,169462.09,1,credit card holder,Inactive Member,112187.11,Retain
4,512,France,Male,40,3,0.0,2,credit card holder,Active Member,146457.83,Retain
4,484,Spain,Female,35,3,133868.21,1,credit card holder,Active Member,27286.1,Retain
3,510,France,Female,30,4,0.0,2,credit card holder,Active Member,130553.47,Retain
4,606,Germany,Male,36,4,190479.48,2,non credit card holder,Inactive Member,179351.89,Retain
3,597,Spain,Female,40,7,101993.12,1,non credit card holder,Active Member,94774.12,Retain
1,754,Germany,Female,55,6,161608.81,1,credit card holder,Inactive Member,8080.85,Exit
4,850,Spain,Female,45,5,122311.21,1,credit card holder,Active Member,19482.5,Retain
2,510,France,Male,65,7,0.0,2,credit card holder,Active Member,48071.61,Retain
4,778,Germany,Female,45,3,162150.42,2,credit card holder,Inactive Member,174531.27,Retain
4,636,France,Male,42,3,0.0,2,credit card holder,Active Member,55470.78,Retain
4,804,France,Female,50,3,0.0,1,credit card holder,Active Member,8546.87,Exit
3,514,France,Male,32,5,0.0,2,credit card holder,Inactive Member,95857.18,Retain
1,730,France,Female,39,6,99010.67,1,credit card holder,Inactive Member,194945.8,Retain
3,525,Spain,Female,37,4,0.0,1,non credit card holder,Active Member,131521.72,Retain
2,616,Spain,Male,30,5,0.0,2,non credit card holder,Active Member,196108.51,Retain
4,687,Germany,Female,34,4,111388.18,2,credit card holder,Inactive Member,148564.76,Retain
2,715,France,Female,41,7,56214.85,2,non credit card holder,Inactive Member,92982.61,Exit
2,512,France,Female,36,7,84327.77,2,credit card holder,Inactive Member,17675.36,Retain
4,479,France,Male,40,3,0.0,2,non credit card holder,Inactive Member,114996.43,Retain
4,601,France,Male,32,3,93012.89,1,credit card holder,Inactive Member,86957.42,Retain
