iter	Passed	Remaining
0	107	32046
1	158	23571
2	228	22634
3	289	21443
4	394	23257
5	477	23385
6	571	23922
7	647	23647
8	748	24202
9	816	23671
10	884	23242
11	965	23162
12	1041	23001
13	1147	23432
14	1261	23964
15	1445	25654
16	1529	25467
17	1616	25320
18	1682	24880
19	1768	24762
20	1835	24381
21	1911	24148
22	1969	23719
23	2049	23573
24	2151	23665
25	2241	23621
26	2336	23620
27	2414	23456
28	2492	23289
29	2573	23165
30	2654	23033
31	2733	22896
32	2845	23021
33	2956	23130
34	3043	23046
35	3146	23074
36	3274	23274
37	3356	23145
38	3464	23182
39	3568	23195
40	3644	23021
41	3772	23173
42	3891	23259
43	4018	23382
44	4149	23514
45	4275	23607
46	4364	23495
47	4449	23357
48	4522	23166
49	4624	23120
50	4710	22997
51	4834	23058
52	4911	22888
53	5007	22810
54	5155	22965
55	5283	23021
56	5378	22931
57	5520	23034
58	5658	23115
59	5760	23043
60	5891	23084
61	5981	22959
62	6060	22798
63	6205	22882
64	6331	22890
65	6404	22705
66	6465	22485
67	6549	22345
68	6793	22744
69	6959	22868
70	7055	22755
71	7211	22835
72	7367	22911
73	7534	23010
74	7654	22964
75	7846	23126
76	8002	23174
77	8091	23029
78	8195	22926
79	8359	22988
80	8505	22995
81	8624	22928
82	8702	22752
83	8781	22581
84	8885	22476
85	9037	22489
86	9165	22439
87	9254	22295
88	9350	22168
89	9457	22066
90	9627	22110
91	9737	22015
92	9830	21881
93	9912	21722
94	9968	21510
95	10060	21379
96	10160	21263
97	10263	21156
98	10339	20993
99	10409	20819
100	10475	20640
101	10544	20469
102	10638	20346
103	10760	20279
104	10887	20219
105	10992	20118
106	11066	19961
107	11116	19763
108	11223	19666
109	11306	19529
110	11367	19355
111	11446	19214
112	11535	19089
113	11609	18942
114	11683	18794
115	11768	18667
116	11836	18513
117	11898	18351
118	12003	18256
119	12083	18124
120	12201	18049
121	12317	17971
122	12407	17854
123	12499	17740
124	12585	17619
125	12727	17576
126	12858	17516
127	12919	17361
128	12999	17231
129	13082	17107
130	13177	16999
131	13261	16878
132	13333	16741
133	13412	16614
134	13477	16473
135	13560	16352
136	13630	16217
137	13721	16107
138	13797	15981
139	13896	15881
140	14014	15803
141	14107	15697
142	14175	15562
143	14267	15456
144	14359	15349
145	14433	15224
146	14559	15153
147	14657	15053
148	14795	14993
149	14896	14896
150	15008	14809
151	15100	14702
152	15207	14611
153	15290	14495
154	15351	14361
155	15420	14234
156	15512	14129
157	15619	14037
158	15750	13967
159	15821	13843
160	15943	13764
161	16034	13658
162	16118	13547
163	16217	13448
164	16307	13342
165	16382	13224
166	16454	13104
167	16508	12970
168	16640	12898
169	16728	12792
170	16787	12664
171	16863	12549
172	16935	12432
173	17008	12316
174	17086	12204
175	17153	12085
176	17219	11965
177	17284	11846
178	17359	11734
179	17431	11620
180	17512	11513
181	17597	11409
182	17671	11298
183	17731	11178
184	17796	11062
185	17891	10965
186	17958	10852
187	18065	10762
188	18140	10653
189	18206	10540
190	18295	10440
191	18373	10335
192	18452	10230
193	18553	10137
194	18651	10043
195	18732	9939
196	18812	9835
197	18888	9730
198	18962	9624
199	19019	9509
200	19107	9410
201	19176	9303
202	19260	9203
203	19348	9105
204	19405	8992
205	19466	8882
206	19538	8777
207	19622	8679
208	19711	8582
209	19802	8486
210	19902	8394
211	19981	8294
212	20071	8198
213	20153	8098
214	20230	7997
215	20314	7900
216	20388	7798
217	20462	7696
218	20536	7595
219	20604	7492
220	20664	7387
221	20742	7287
222	20810	7185
223	20871	7081
224	20960	6986
225	21040	6889
226	21114	6790
227	21176	6687
228	21261	6591
229	21344	6496
230	21411	6395
231	21474	6294
232	21553	6197
233	21626	6099
234	21711	6005
235	21778	5905
236	21878	5815
237	21983	5726
238	22088	5637
239	22169	5542
240	22244	5445
241	22321	5349
242	22394	5253
243	22461	5155
244	22531	5058
245	22620	4965
246	22736	4878
247	22830	4786
248	22915	4693
249	23012	4602
250	23117	4513
251	23184	4416
252	23271	4323
253	23345	4227
254	23434	4135
255	23504	4039
256	23586	3946
257	23652	3850
258	23732	3756
259	23883	3674
260	24014	3588
261	24081	3492
262	24174	3400
263	24247	3306
264	24341	3214
265	24437	3123
266	24504	3028
267	24575	2934
268	24665	2842
269	24728	2747
270	24791	2652
271	24880	2561
272	24962	2468
273	25034	2375
274	25090	2280
275	25151	2187
276	25200	2092
277	25263	1999
278	25324	1906
279	25403	1814
280	25473	1722
281	25530	1629
282	25585	1536
283	25656	1445
284	25719	1353
285	25796	1262
286	25850	1170
287	25897	1079
288	25943	987
289	26013	897
290	26129	808
291	26284	720
292	26368	629
293	26449	539
294	26538	449
295	26612	359
296	26698	269
297	26767	179
298	26925	90
299	27057	0
