iter	Passed	Remaining
0	80	80696
1	164	82321
2	253	84382
3	384	95757
4	494	98496
5	629	104287
6	784	111275
7	933	115750
8	1060	116790
9	1179	116763
10	1263	113606
11	1379	113540
12	1460	110902
13	1586	111752
14	1671	109753
15	1777	109327
16	1873	108356
17	1971	107565
18	2085	107663
19	2228	109204
20	2404	112106
21	2521	112109
22	2671	113472
23	2835	115305
24	3010	117403
25	3246	121634
26	3441	124033
27	3780	131238
28	4003	134060
29	4241	137130
30	4486	140243
31	4750	143693
32	4876	142907
33	4997	141988
34	5112	140966
35	5206	139411
36	5303	138034
37	5420	137214
38	5539	136509
39	5653	135687
40	5762	134796
41	5876	134051
42	5984	133191
43	6104	132643
44	6214	131877
45	6264	129921
46	6390	129582
47	6510	129131
48	6613	128359
49	6723	127739
50	6840	127291
51	6951	126733
52	7059	126131
53	7138	125055
54	7226	124159
55	7313	123292
56	7411	122614
57	7511	121990
58	7605	121299
59	7703	120690
60	7799	120063
61	7946	120229
62	8125	120845
63	8287	121207
64	8448	121523
65	8619	121978
66	8798	122526
67	8960	122813
68	9124	123116
69	9302	123594
70	9532	124730
71	9718	125256
72	9926	126055
73	10111	126525
74	10320	127287
75	10480	127414
76	10604	127112
77	10721	126735
78	10847	126458
79	10955	125986
80	11045	125320
81	11149	124819
82	11249	124287
83	11372	124013
84	11469	123469
85	11564	122909
86	11641	122163
87	11751	121784
88	11834	121140
89	11940	120727
90	12033	120204
91	12164	120059
92	12290	119869
93	12437	119873
94	12576	119804
95	12747	120040
96	12874	119851
97	12949	119190
98	13107	119289
99	13225	119033
100	13328	118635
101	13480	118678
102	13664	119002
103	13910	119847
104	14052	119783
105	14310	120698
106	14375	119975
107	14590	120509
108	14791	120913
109	14991	121294
110	15165	121457
111	15339	121620
112	15528	121893
113	15716	122148
114	15923	122544
115	16028	122150
116	16136	121785
117	16197	121072
118	16308	120738
119	16443	120583
120	16545	120190
121	16682	120058
122	16791	119728
123	16902	119407
124	17023	119165
125	17133	118844
126	17243	118530
127	17386	118448
128	17494	118124
129	17632	118005
130	17745	117714
131	17875	117545
132	17956	117057
133	18074	116808
134	18194	116577
135	18320	116388
136	18490	116479
137	18602	116199
138	18668	115639
139	18786	115405
140	18891	115093
141	18948	114492
142	19084	114374
143	19249	114425
144	19420	114513
145	19584	114555
146	19704	114339
147	19875	114418
148	20064	114597
149	20245	114723
150	20444	114951
151	20714	115562
152	20956	116014
153	21059	115689
154	21343	116357
155	21557	116634
156	21620	116091
157	21737	115843
158	21838	115510
159	21933	115152
160	22042	114867
161	22079	114212
162	22179	113890
163	22263	113488
164	22367	113190
165	22465	112870
166	22570	112582
167	22707	112455
168	22850	112360
169	22963	112114
170	23054	111767
171	23177	111577
172	23261	111198
173	23374	110961
174	23494	110759
175	23629	110628
176	23766	110509
177	23924	110484
178	24005	110104
179	24180	110155
180	24412	110462
181	24645	110768
182	24873	111048
183	25189	111711
184	25354	111696
185	25597	112022
186	25751	111957
187	25876	111762
188	26041	111744
189	26112	111322
190	26307	111426
191	26525	111629
192	26646	111420
193	26851	111556
194	27008	111496
195	27138	111324
196	27233	111007
197	27373	110877
198	27457	110521
199	27520	110083
200	27622	109803
201	27725	109528
202	27844	109322
203	27960	109101
204	28075	108878
205	28189	108654
206	28305	108434
207	28426	108238
208	28543	108028
209	28647	107770
210	28761	107547
211	28844	107214
212	28956	106990
213	29073	106784
214	29197	106603
215	29327	106449
216	29442	106235
217	29554	106018
218	29578	105482
219	29685	105249
220	29806	105063
221	29972	105037
222	30170	105121
223	30404	105330
224	30604	105417
225	30800	105484
226	30992	105538
227	31203	105653
228	31390	105686
229	31610	105825
230	31789	105827
231	31992	105905
232	32150	105835
233	32349	105895
234	32489	105762
235	32585	105489
236	32682	105219
237	32793	104995
238	32885	104709
239	32990	104470
240	33040	104058
241	33134	103785
242	33220	103490
243	33318	103231
244	33413	102967
245	33508	102705
246	33617	102485
247	33713	102227
248	33790	101915
249	33881	101645
250	33989	101426
251	34095	101205
252	34200	100978
253	34303	100748
254	34407	100522
255	34485	100224
256	34597	100021
257	34679	99737
258	34753	99430
259	34877	99266
260	34992	99079
261	35114	98910
262	35260	98810
263	35440	98803
264	35619	98794
265	35676	98445
266	35851	98424
267	36063	98501
268	36247	98502
269	36474	98614
270	36643	98571
271	36887	98727
272	37109	98822
273	37290	98807
274	37347	98460
275	37658	98785
276	37850	98794
277	37968	98609
278	38000	98203
279	38077	97913
280	38210	97770
281	38311	97546
282	38385	97253
283	38505	97077
284	38606	96854
285	38721	96669
286	38859	96540
287	38975	96355
288	39084	96156
289	39196	95964
290	39311	95778
291	39427	95597
292	39528	95380
293	39641	95193
294	39760	95019
295	39872	94831
296	39990	94657
297	40092	94445
298	40205	94261
299	40313	94065
300	40423	93874
301	40532	93681
302	40648	93505
303	40762	93323
304	40878	93149
305	40987	92958
306	41132	92850
307	41332	92863
308	41497	92798
309	41788	93013
310	41985	93016
311	42214	93088
312	42382	93024
313	42605	93081
314	42792	93056
315	43031	93144
316	43212	93104
317	43386	93048
318	43550	92971
319	43666	92791
320	43769	92584
321	43881	92396
322	43983	92188
323	44019	91843
324	44118	91631
325	44209	91402
326	44310	91195
327	44418	91003
328	44524	90808
329	44621	90595
330	44733	90412
331	44828	90197
332	44937	90009
333	45046	89822
334	45143	89613
335	45247	89416
336	45358	89237
337	45425	88969
338	45511	88740
339	45608	88534
340	45723	88363
341	45830	88177
342	45909	87938
343	46033	87784
344	46132	87585
345	46242	87405
346	46344	87213
347	46527	87172
348	46718	87145
349	46958	87207
350	47244	87355
351	47437	87327
352	47650	87337
353	47909	87427
354	48158	87499
355	48345	87456
356	48526	87401
357	48709	87350
358	48777	87093
359	48942	87009
360	49112	86932
361	49206	86723
362	49293	86501
363	49411	86333
364	49514	86141
365	49654	86012
366	49760	85826
367	49851	85613
368	49962	85436
369	50051	85222
370	50136	85002
371	50242	84817
372	50322	84590
373	50440	84426
374	50550	84250
375	50644	84048
376	50749	83865
377	50863	83696
378	50956	83493
379	51067	83321
380	51182	83154
381	51296	82986
382	51400	82803
383	51509	82630
384	51625	82465
385	51735	82293
386	51886	82186
387	52101	82181
388	52290	82131
389	52500	82116
390	52673	82042
391	52847	81968
392	53013	81881
393	53072	81629
394	53236	81540
395	53438	81507
396	53600	81412
397	53757	81311
398	53911	81204
399	54077	81115
400	54191	80949
401	54345	80842
402	54433	80637
403	54521	80432
404	54612	80233
405	54712	80046
406	54803	79849
407	54895	79652
408	54998	79472
409	55074	79253
410	55160	79050
411	55243	78842
412	55331	78642
413	55418	78442
414	55506	78244
415	55596	78049
416	55694	77865
417	55791	77681
418	55897	77509
419	56044	77394
420	56137	77205
421	56240	77030
422	56355	76873
423	56464	76706
424	56600	76577
425	56683	76376
426	56799	76220
427	56879	76016
428	56986	75849
429	57127	75727
430	57301	75648
431	57464	75555
432	57654	75497
433	57800	75379
434	57959	75280
435	58121	75184
436	58256	75054
437	58412	74949
438	58590	74873
439	58751	74774
440	58916	74680
441	59091	74599
442	59249	74497
443	59396	74378
444	59555	74276
445	59681	74133
446	59750	73919
447	59870	73768
448	59976	73601
449	60094	73448
450	60196	73276
451	60301	73108
452	60406	72941
453	60520	72784
